,log2FoldChange,padj
163933,0.668096542989673,0.600703656906021
978,-0.243797792723227,0.93236771237188
65018,0.116098533958602,0.827715993289214
102464833,0.297001061886347,0.31375697564996
100861548,0.0664002830421783,0.894033217868353
1650,-0.1138359532406,0.901249234360099
57576,-0.361079388141113,0.228817067395016
400745,-0.538416009266642,0.704768013950499
112268222,0.0985188328619059,0.555166603635132
50809,0.0764425946461709,0.491504466081316
8672,0.269713443407614,0.308620808930661
105376830,-0.24321987693623,0.847493326244028
105376829,0.107317994691522,0.953305746713502
100302155,0.473393667828607,0.751074013679438
1889,-0.264849034900778,0.839689938781179
100506801,-0.641406713835128,0.624935977018221
84224,-0.0509206496979362,0.968998135828994
249,0.040786112173199,0.983543164864174
105376834,-0.183384023968449,0.923700234952659
5909,0.269471247285887,0.943234197096551
84196,-0.10262133846424,0.736559051765441
401944,-0.205402315390972,0.968393775277697
3339,-0.255113236672955,0.95937662043088
101928043,-0.518926713100405,0.275731642018934
29092,-0.207619896328412,0.590906017237889
112268223,-0.32497716617031,0.494300598284298
998,-0.000619052956232343,0.999540370728007
54361,-0.0778516129382925,0.97797409004468
105376845,0.0529126843643923,0.989047352142115
105376850,-0.167095000321181,0.95174586805011
9923,0.139113757479796,0.845186495424474
2046,0.463367388923716,0.869001699922421
712,0.0289602944127176,0.99686044333362
714,-0.0391571725945928,0.994130601627854
713,-0.0367586075612897,0.994843562238479
2048,0.36801623376759,0.804324379176313
100422914,0.37765401988006,0.775905769445835
646262,1.01746579615319,0.785111594485853
729059,-0.325379550778315,0.826737289394892
23028,0.148295668996388,0.0666359270471165
100422866,-0.233344284989282,NA
7798,0.37448712140957,0.458416627910224
3352,1.04187379354306,0.355819066832145
100996511,-0.523398832805035,0.293458870815256
10236,-0.0446077374364668,0.920803106967305
80818,0.232768536701926,0.360704346274587
148898,-0.807677555306885,8.01282668712906E-06
6920,0.0703222984871347,0.965872514853455
55616,-0.295039142989935,0.815937971420408
1870,-0.0740366066567791,0.989743722780431
101928163,-0.500687748002933,0.91191055547497
105376859,-0.594892925917039,0.162208854232277
3399,-0.379780126468271,0.872950568171125
107984928,-1.17927329594363,0.790399973953656
259283,-1.49837616371915,0.229824460147917
6135,-0.184513360681156,0.802864673524106
6924,0.191253304966425,0.0710600378035697
